item,comparison,n,mean_diff,a_higher,b_higher,ties,p,p_holm,r,dz
Standard matters,Equality vs Fairness,29,0.06896551724137931,4,3,22,0.7924600886080352,0.7924600886080352,0.04885967564883422,0.06678071527370719
Standard matters,Equality vs Fairness & Equality,29,-0.13793103448275862,2,4,23,0.3740627974908826,0.7481255949817652,-0.16506252282404607,-0.19902503297046517
Standard matters,Fairness vs Fairness & Equality,29,-0.20689655172413793,0,3,26,0.17356816655592155,0.5207044996677647,-0.25269934785963455,-0.26743185236191797
Reasoning makes sense,Equality vs Fairness,29,0.10344827586206896,4,1,24,0.23303798227390538,0.6991139468217161,0.22145461294330657,0.25277366027055115
Reasoning makes sense,Equality vs Fairness & Equality,29,0.034482758620689655,2,1,26,0.7728299926844475,0.7728299926844475,0.053605626741889734,0.10595727755657598
Reasoning makes sense,Fairness vs Fairness & Equality,29,-0.06896551724137931,0,2,27,0.34577858615116025,0.6991139468217161,-0.17507524381296347,-0.2674318523619179
Inclined to revise,Equality vs Fairness,29,0.20689655172413793,7,3,19,0.2660448616757227,0.7981345850271682,0.20653351134666773,0.22948763975976538
Inclined to revise,Equality vs Fairness & Equality,29,0.20689655172413793,8,3,18,0.3357817229855862,0.7981345850271682,0.17873796928265126,0.21164129316181451
Inclined to revise,Fairness vs Fairness & Equality,29,0,3,3,23,1,1,-0,0
